TOA5,LVDT 데이터_스무딩
2025-05-30 4:20,-0.092983463
2025-05-30 4:25,-0.088316951
2025-05-30 4:30,-0.087624992
2025-05-30 4:35,-0.084633958
2025-05-30 4:40,-0.083430365
2025-05-30 4:45,-0.08529192
2025-05-30 4:50,-0.090598994
2025-05-30 4:55,-0.088292486
2025-05-30 5:00,-0.087565332
2025-05-30 5:05,-0.086475906
2025-05-30 5:10,-0.087998182
2025-05-30 5:15,-0.089755752
2025-05-30 5:20,-0.089241545
2025-05-30 5:25,-0.090085616
2025-05-30 5:30,-0.092133974
2025-05-30 5:35,-0.091266418
2025-05-30 5:40,-0.091618566
2025-05-30 5:45,-0.097383625
2025-05-30 5:50,-0.100793029
2025-05-30 5:55,-0.103401076
2025-05-30 6:00,-0.097556882
2025-05-30 6:05,-0.097074795
2025-05-30 6:10,-0.094008861
2025-05-30 6:15,-0.093780002
2025-05-30 6:20,-0.095511295
2025-05-30 6:25,-0.093405667
2025-05-30 6:30,-0.094347129
2025-05-30 6:35,-0.097673876
2025-05-30 6:40,-0.099465428
2025-05-30 6:45,-0.106781904
2025-05-30 6:50,-0.107882283
2025-05-30 6:55,-0.112382369
2025-05-30 7:00,-0.120840186
2025-05-30 7:05,-0.119168608
2025-05-30 7:10,-0.116441102
2025-05-30 7:15,-0.11592644
2025-05-30 7:20,-0.117503002
2025-05-30 7:25,-0.119052406
2025-05-30 7:30,-0.116336293
2025-05-30 7:35,-0.123255267
2025-05-30 7:40,-0.12474734
2025-05-30 7:45,-0.126073455
2025-05-30 7:50,-0.124759591
2025-05-30 7:55,-0.127134772
2025-05-30 8:00,-0.135744098
2025-05-30 8:05,-0.141449937
2025-05-30 8:10,-0.145136362
2025-05-30 8:15,-0.139617931
2025-05-30 8:20,-0.142285984
2025-05-30 8:25,-0.142268801
2025-05-30 8:30,-0.144857177
2025-05-30 8:35,-0.147507904
2025-05-30 8:40,-0.145718511
2025-05-30 8:45,-0.147022878
2025-05-30 8:50,-0.150632297
2025-05-30 8:55,-0.154315294
2025-05-30 9:00,-0.158049566
2025-05-30 9:05,-0.157743905
2025-05-30 9:10,-0.161331425
2025-05-30 9:15,-0.161551219
2025-05-30 9:20,-0.162634027
2025-05-30 9:25,-0.172986341
2025-05-30 9:30,-0.177370782
2025-05-30 9:35,-0.18226878
2025-05-30 9:40,-0.190676474
2025-05-30 9:45,-0.198015744
2025-05-30 9:50,-0.210046945
2025-05-30 9:55,-0.217337615
2025-05-30 10:00,-0.22191104
2025-05-30 10:05,-0.225251885
